id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
45229,AMC,large_airport,Mar de Cortés International Airport,31.351621,-113.30586399999999,71.0,,MX,MX-SON,Puerto Peñasco,yes,MMPE,PPE,,,http://en.wikipedia.org/wiki/Mar_de_Cort%C3%A9s_International_Airport,
67,AYPY,large_airport,Port Moresby Jacksons International Airport,-9.443380355834961,147.22000122070312,146.0,OC,PG,PG-NCD,Port Moresby,yes,AYPY,POM,,,http://en.wikipedia.org/wiki/Jacksons_International_Airport,
123,BIKF,large_airport,Keflavik International Airport,63.985000610352,-22.605600357055998,171.0,EU,IS,IS-2,Reykjavík,yes,BIKF,KEF,,,http://en.wikipedia.org/wiki/Keflav%C3%ADk_International_Airport,"Keflavik Naval Air Station,REK"
4614,BKPR,large_airport,Priština International Airport,42.5728,21.035801,1789.0,EU,XK,XK-01,Prishtina,yes,BKPR,PRN,,http://www.airportpristina.com/,https://en.wikipedia.org/wiki/Pristina_International_Airport,"LYPR, Pristina, Slatina Air Base"
326346,CMN,large_airport,CMN,0.0,0.0,,AF,MA,MA-CAS,,yes,,CMN,,,,
1717,CYEG,large_airport,Edmonton International Airport,53.309700012200004,-113.580001831,2373.0,,CA,CA-AB,Edmonton,yes,CYEG,YEG,CYEG,http://www.edmontonairports.com/,http://en.wikipedia.org/wiki/Edmonton_International_Airport,YEA
1770,CYHZ,large_airport,Halifax / Stanfield International Airport,44.880798339799995,-63.508598327600005,477.0,,CA,CA-NS,Halifax,yes,CYHZ,YHZ,,http://www.hiaa.ca/,http://en.wikipedia.org/wiki/Halifax_International_Airport,Robert L. Stanfield International Airport
1840,CYOW,large_airport,Ottawa Macdonald-Cartier International Airport,45.3224983215332,-75.66919708251953,374.0,,CA,CA-ON,Ottawa,yes,CYOW,YOW,YOW,http://www.ottawa-airport.ca/,http://en.wikipedia.org/wiki/Ottawa_Macdonald-Cartier_International_Airport,"Uplands, UUP, CUUP"
1928,CYUL,large_airport,Montreal / Pierre Elliott Trudeau International Airport,45.4706001282,-73.7407989502,118.0,,CA,CA-QC,Montréal,yes,CYUL,YUL,YUL,http://www.admtl.com/passager/Home.aspx,http://en.wikipedia.org/wiki/Montr%C3%A9al-Pierre_Elliott_Trudeau_International_Airport,"YMQ, Dorval Airport"
1941,CYVR,large_airport,Vancouver International Airport,49.193901061999995,-123.183998108,14.0,,CA,CA-BC,Vancouver,yes,CYVR,YVR,,http://www.yvr.ca/,http://en.wikipedia.org/wiki/Vancouver_International_Airport,
1946,CYWG,large_airport,Winnipeg / James Armstrong Richardson International Airport,49.909999847399995,-97.2398986816,783.0,,CA,CA-MB,Winnipeg,yes,CYWG,YWG,YWG,http://www.waa.ca/,http://en.wikipedia.org/wiki/Winnipeg_James_Armstrong_Richardson_International_Airport,CFB Winnipeg
1973,CYYC,large_airport,Calgary International Airport,51.113899231000005,-114.019996643,3557.0,,CA,CA-AB,Calgary,yes,CYYC,YYC,,http://www.calgaryairport.com/,http://en.wikipedia.org/wiki/Calgary_International_Airport,McCall Field
1979,CYYJ,large_airport,Victoria International Airport,48.646900177,-123.426002502,63.0,,CA,CA-BC,Victoria,yes,CYYJ,YYJ,,http://www.victoriaairport.com/,http://en.wikipedia.org/wiki/Victoria_International_Airport,
1986,CYYT,large_airport,St. John's International Airport,47.618598938000005,-52.751899719200004,461.0,,CA,CA-NL,St. John's,yes,CYYT,YYT,,http://www.stjohnsairport.com/,http://en.wikipedia.org/wiki/St._John's_International_Airport,
1990,CYYZ,large_airport,Lester B. Pearson International Airport,43.6772003174,-79.63059997559999,569.0,,CA,CA-ON,Toronto,yes,CYYZ,YYZ,YYZ,http://www.gtaa.com/,http://en.wikipedia.org/wiki/Toronto_Pearson_International_Airport,"YTO, Toronto International Airport, Malton"
2050,DAAG,large_airport,Houari Boumediene Airport,36.691001892089844,3.215409994125366,82.0,AF,DZ,DZ-35,Algiers,yes,DAAG,ALG,,,http://en.wikipedia.org/wiki/Houari_Boumedienne_Airport,
2090,DGAA,large_airport,Kotoka International Airport,5.605189800262451,-0.16678600013256073,205.0,AF,GH,GH-AA,Accra,yes,DGAA,ACC,,,http://en.wikipedia.org/wiki/Kotoka_International_Airport,
2104,DNAA,large_airport,Nnamdi Azikiwe International Airport,9.006790161132812,7.263169765472412,1123.0,AF,NG,NG-FC,Abuja,yes,DNAA,ABV,,http://www.faannigeria.org/nigeria-airport.php?airport=3,http://en.wikipedia.org/wiki/Nnamdi_Azikiwe_International_Airport,
309668,DNAI,large_airport,Akwa Ibom International Airport,4.8725,8.093,170.0,AF,NG,NG-AK,Uyo,yes,DNAI,QUO,,http://www.ibomairport.com.ng/,http://en.wikipedia.org/wiki/Akwa_Ibom_Airport,
2115,DNKN,large_airport,Mallam Aminu International Airport,12.0476,8.52462,1562.0,AF,NG,NG-KN,Kano,yes,DNKN,KAN,,http://www.faannigeria.org/nigeria-airport.php?airport=2,http://en.wikipedia.org/wiki/Mallam_Aminu_Kano_International_Airport,
2118,DNMM,large_airport,Murtala Muhammed International Airport,6.5773701667785645,3.321160078048706,135.0,AF,NG,NG-LA,Lagos,yes,DNMM,LOS,,http://www.faannigeria.org/nigeria-airport.php?airport=1,http://en.wikipedia.org/wiki/Murtala_Mohammed_International_Airport,
